year,code_union_type,code_union,variable,value
1981,C,4-2,quantity,25
1981,C,4-2,sales.m,75
1981,C,4-3,quantity,35
1981,C,4-3,sales.m,1282.029
1981,C,4-4,quantity,17
1981,C,4-4,sales.m,76.45
1981,C,5,quantity,419
1981,C,5,sales.m,2084.412
1981,C,6,quantity,21
1981,C,6,sales.m,151.18
1981,C,7-1,quantity,0
1981,C,7-1,sales.m,0
1981,C,7-3,quantity,179
1981,C,7-3,sales.m,4394.07
1981,C,7-8,quantity,2
1981,C,7-8,sales.m,23
1981,C,8,quantity,0
1981,C,8,sales.m,0
1981,C,export,quantity,0
1981,C,export,sales.m,0
1982,C,1,quantity,14
1982,C,1,sales.m,330.2
1982,C,11,quantity,2
1982,C,11,sales.m,9.3
1982,C,12,quantity,29
1982,C,12,sales.m,241.8
1982,C,15,quantity,3084
1982,C,15,sales.m,5109.941
1982,C,16,quantity,9
1982,C,16,sales.m,72.95
1982,C,17,quantity,18
1982,C,17,sales.m,314.4
1982,C,2,quantity,84
1982,C,2,sales.m,247.147
1982,C,3,quantity,51
1982,C,3,sales.m,1537.58
1982,C,4-2,quantity,0
1982,C,4-2,sales.m,0
1982,C,4-3,quantity,354
1982,C,4-3,sales.m,1626.505
1982,C,4-4,quantity,18
1982,C,4-4,sales.m,75.398
1982,C,5,quantity,248
1982,C,5,sales.m,2160.166
1982,C,6,quantity,23
1982,C,6,sales.m,92.5
1982,C,7-1,quantity,0
1982,C,7-1,sales.m,0
1982,C,7-3,quantity,164
1982,C,7-3,sales.m,4580.25
1982,C,7-8,quantity,0
1982,C,7-8,sales.m,0
1982,C,8,quantity,43
1982,C,8,sales.m,470
1982,C,export,quantity,100
1982,C,export,sales.m,1830
1983,C,1,quantity,34
1983,C,1,sales.m,459.6
1983,C,11,quantity,0
1983,C,11,sales.m,0
1983,C,12,quantity,16
1983,C,12,sales.m,115.827
1983,C,15,quantity,2902
1983,C,15,sales.m,5738.964
1983,C,16,quantity,3
1983,C,16,sales.m,38.3
1983,C,17,quantity,47
1983,C,17,sales.m,754.176
1983,C,2,quantity,107
1983,C,2,sales.m,675.72
1983,C,3,quantity,147
1983,C,3,sales.m,3365.593
1983,C,4-2,quantity,4
1983,C,4-2,sales.m,26.75
1983,C,4-3,quantity,194
1983,C,4-3,sales.m,951.736
1983,C,4-4,quantity,8
1983,C,4-4,sales.m,38
1983,C,5,quantity,327
1983,C,5,sales.m,2190.94
1983,C,6,quantity,154
1983,C,6,sales.m,621.004
1983,C,7-1,quantity,0
1983,C,7-1,sales.m,0
1983,C,7-3,quantity,426
1983,C,7-3,sales.m,3437.014
1983,C,7-8,quantity,1
1983,C,7-8,sales.m,19.8
1983,C,8,quantity,12
1983,C,8,sales.m,230.4
1983,C,export,quantity,118
1983,C,export,sales.m,307.57
1984,C,1,quantity,11
1984,C,1,sales.m,75.7
1984,C,11,quantity,11
1984,C,11,sales.m,68.1
1984,C,12,quantity,38
1984,C,12,sales.m,144.818
1984,C,15,quantity,2332
1984,C,15,sales.m,5014.161
1984,C,16,quantity,4
1984,C,16,sales.m,43.5
1984,C,17,quantity,12
1984,C,17,sales.m,66.414
1984,C,2,quantity,168
1984,C,2,sales.m,616.255
1984,C,3,quantity,185
1984,C,3,sales.m,4089.48
1984,C,4-2,quantity,0
1984,C,4-2,sales.m,0
1984,C,4-3,quantity,198
1984,C,4-3,sales.m,622.4
1984,C,4-4,quantity,46
1984,C,4-4,sales.m,420.55
1984,C,5,quantity,449
1984,C,5,sales.m,3531.046
1984,C,6,quantity,204
1984,C,6,sales.m,413.754
1984,C,7-1,quantity,0
1984,C,7-1,sales.m,0
1984,C,7-3,quantity,547
1984,C,7-3,sales.m,2983.469
1984,C,7-8,quantity,0
1984,C,7-8,sales.m,0
1984,C,8,quantity,39
1984,C,8,sales.m,247.6
1984,C,export,quantity,507
1984,C,export,sales.m,1468.217
1985,C,1,quantity,11
1985,C,1,sales.m,324.745
1985,C,11,quantity,22
1985,C,11,sales.m,326.3
1985,C,12,quantity,38
1985,C,12,sales.m,168.84
1985,C,15,quantity,3107
1985,C,15,sales.m,6356.426
1985,C,16,quantity,18
1985,C,16,sales.m,122.4
